Sample in Buffer,Sample in Window,TRIGGER,sc_interrupt_sys/inst[31:0],sc_interrupt_sys/pc[31:0],sc_interrupt_sys/SI_ClkIn,sc_interrupt_sys/SI_Reset_N,sc_interrupt_sys/lock,sc_interrupt_sys/counter[26:0],sc_interrupt_sys/IO_Switch[15:0],sc_interrupt_sys/IO_LED[15:0],sc_interrupt_sys/dbg_imem_cs,sc_interrupt_sys/dbg_imem_we,sc_interrupt_sys/dbg_imem_addr[31:0],sc_interrupt_sys/dbg_imem_din[31:0],sc_interrupt_sys/dbg_dmem_cs,sc_interrupt_sys/dbg_dmem_we,sc_interrupt_sys/dbg_dmem_addr[31:0],sc_interrupt_sys/dbg_dmem_din[31:0],sc_interrupt_sys/dbg_halt_cpu,sc_interrupt_sys/IO_7SEGEN_N[7:0],sc_interrupt_sys/IO_7SEG_N[6:0],sc_interrupt_sys/intr
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
112,112,0,34202373,00000008,1,1,1,323af74,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
113,113,0,34202373,00000008,0,1,1,323af74,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
114,114,0,00f37393,0000000c,1,1,1,323af75,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
115,115,0,00f37393,0000000c,0,1,1,323af75,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
116,116,0,02000e13,00000010,1,1,1,323af76,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
117,117,0,02000e13,00000010,0,1,1,323af76,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
118,118,0,01c383b3,00000014,1,1,1,323af77,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
119,119,0,01c383b3,00000014,0,1,1,323af77,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
120,120,0,0003a383,00000018,1,1,1,323af78,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
121,121,0,0003a383,00000018,0,1,1,323af78,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
122,122,0,00038067,0000001c,1,1,1,323af79,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
123,123,0,00038067,0000001c,0,1,1,323af79,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
124,124,0,00000013,00000024,1,1,1,323af7a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
125,125,0,00000013,00000024,0,1,1,323af7a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
